doc_id,FUNC1_el,FUNC1_de,FUNC1_que,FUNC1_y,FUNC1_a,FUNC1_en,FUNC1_ser,FUNC1_uno,FUNC1_su,FUNC1_se,FUNC1_no,FUNC1_haber,FUNC1_por,FUNC1_con,FUNC1_lo,FUNC1_para,FUNC1_este,FUNC1_como,FUNC1_más,FUNC1_me,FUNC1_estar,FUNC1_le,FUNC1_todo,FUNC1_o,FUNC1_ese,FUNC1_pero,FUNC1_mi,FUNC1_tener,FUNC1_si,FUNC1_sin,FUNC1_otro,FUNC1_ya,FUNC1_cuando,FUNC1_porque,FUNC1_nos,FUNC1_entre,FUNC1_hasta,FUNC1_nuestro,FUNC1_ni,FUNC1_qué,FUNC1_sobre,FUNC1_desde,FUNC1_también,FUNC1_mucho,FUNC1_quien,FUNC1_él,FUNC1_así,FUNC1_ante,FUNC1_muy,FUNC1_yo,FUNC1_sí,FUNC1_nada,FUNC1_alguno,FUNC1_tanto,FUNC1_poco,FUNC1_contra,FUNC1_ellos,FUNC1_te,FUNC1_algo,FUNC1_antes,FUNC1_mí,FUNC1_nosotros,FUNC1_durante,FUNC1_donde,FUNC1_cual,FUNC1_estado,FUNC1_tu,FUNC1_ir,FUNC1_estados,FUNC1_suyo,FUNC1_1,FUNC1_tú,FUNC1_sus,FUNC1_mío,FUNC1_era,FUNC1_ti,FUNC1_es,FUNC1_eso,FUNC1_vuestro,FUNC1_ha,FUNC1_estoy,FUNC1_hay,FUNC1_tiene,FUNC1_las,FUNC1_la,FUNC1_los,FUNC1_miar
1a,27.31958763,12.19931271,5.841924399,4.810996564,4.467353952,4.467353952,3.608247423,3.092783505,2.233676976,1.890034364,3.092783505,4.12371134,2.06185567,1.890034364,1.890034364,1.374570447,1.374570447,0.687285223,0.515463918,0,1.202749141,0.171821306,0.343642612,0.171821306,0.343642612,0.343642612,0,0.859106529,0.343642612,0.515463918,0.687285223,0.343642612,0.859106529,1.374570447,0,0,0.515463918,0.343642612,0,0.343642612,0.687285223,0.171821306,0.171821306,0.343642612,0,0,0,0.343642612,0,0,0,0.515463918,0.687285223,0.171821306,0.171821306,0.343642612,0.171821306,0,0,0.171821306,0,0,0,0,0,0,0,0,0,0,0.343642612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b,22.62857143,9.142857143,5.942857143,5.714285714,6.171428571,3.885714286,4.8,4.342857143,2.971428571,3.085714286,2.971428571,0.685714286,2.057142857,2.057142857,3.428571429,1.485714286,0.914285714,0.571428571,0.685714286,1.371428571,0.8,2.057142857,1.028571429,0,0.342857143,0.571428571,0.228571429,0.914285714,0.914285714,0.571428571,0.571428571,0.114285714,0.8,0.685714286,0,0.228571429,0.342857143,0.114285714,0.457142857,0.457142857,0.342857143,0.114285714,0.228571429,0.342857143,0.114285714,0.228571429,0,0,0.342857143,0,0.228571429,0.114285714,0,0,0.228571429,0,0.114285714,0.114285714,0.457142857,0,0,0,0.228571429,0.114285714,0,0,0,0.228571429,0,0.114285714,0,0.114285714,0,0,0,0.114285714,0,0,0,0,0,0,0,0,0,0,0
1c,16,12.23529412,5.647058824,5.882352941,8,6.117647059,4.470588235,4.235294118,2.117647059,2.352941176,3.529411765,2.823529412,1.882352941,1.647058824,1.882352941,1.647058824,2.588235294,1.176470588,1.176470588,0.470588235,0.470588235,0.470588235,0.470588235,0.235294118,0.470588235,0.235294118,0,0.470588235,0.235294118,0.235294118,1.176470588,0.470588235,0.941176471,1.176470588,0,0,0.235294118,0.470588235,0,0.705882353,0.705882353,0.235294118,0.705882353,0.235294118,0.470588235,0,0,0,0,0.235294118,0,0,0.470588235,0,0,0.705882353,0,0.941176471,0,0,0,0.470588235,0.470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a,15.82403152,10.37426133,7.353906763,4.530531845,5.252790545,4.530531845,3.873933027,5.384110309,2.363755745,3.282994091,2.954694682,2.1667761,1.772816809,2.757715036,2.626395272,1.575837163,0.7222587,1.510177282,0.984898227,2.035456336,0.590938936,1.510177282,1.050558109,0.393959291,0.328299409,1.313197636,0.7222587,0.853578464,0.262639527,0.328299409,0.459619173,0.656598818,0.919238345,0.984898227,0.196979645,0.262639527,0.262639527,0.328299409,0.065659882,0.131319764,0.393959291,0.065659882,0.196979645,0.065659882,0.393959291,0.656598818,0.196979645,0.131319764,0.393959291,0.853578464,0.131319764,0.459619173,0.196979645,0.131319764,0.131319764,0.196979645,0.196979645,0.065659882,0.262639527,0,0.262639527,0,0,0.131319764,0.065659882,0,0.131319764,0.131319764,0,0.065659882,0.131319764,0.131319764,0,0.131319764,0,0.065659882,0.065659882,0,0,0,0,0,0,0,0,0,0.065659882
2b,20.16806723,10.08403361,7.56302521,4.705882353,5.378151261,3.865546218,4.201680672,3.865546218,1.848739496,2.016806723,3.697478992,2.857142857,1.848739496,1.344537815,1.176470588,1.344537815,1.344537815,2.016806723,1.176470588,1.680672269,0.504201681,0.336134454,0.840336134,1.176470588,1.176470588,1.008403361,1.344537815,0.840336134,0.336134454,0.672268908,0.336134454,0.672268908,0.840336134,0.504201681,0,0.168067227,0.672268908,0.672268908,0.336134454,0,0.336134454,0.840336134,0.168067227,0.336134454,0.168067227,0.168067227,0,0.168067227,0.336134454,0.504201681,0.168067227,0,0,0.168067227,0.504201681,0.168067227,0.336134454,0,0,0.168067227,0.336134454,0,0,0.168067227,0,0,0,0,0,0.168067227,0,0,0,0.168067227,0,0,0,0,0,0,0,0,0,0,0,0,0
3a,20.89864159,12.53918495,4.911180773,9.090909091,5.538140021,6.165099269,3.55276907,3.866248694,5.956112853,2.507836991,1.462904911,1.462904911,2.925809822,1.776384535,1.776384535,1.358411703,0.626959248,1.149425287,0.835945664,0,0.731452456,1.358411703,0.52246604,0.417972832,0.626959248,0.104493208,0,0.313479624,0.104493208,0.313479624,0.731452456,0.626959248,0.626959248,0.208986416,0.104493208,0.208986416,0.313479624,0.104493208,0.208986416,0.104493208,0.208986416,0.208986416,0.104493208,0.208986416,0.417972832,0.313479624,0.104493208,0,0.208986416,0.104493208,0,0,0.104493208,0.104493208,0,0.104493208,0.104493208,0.104493208,0.104493208,0.208986416,0.104493208,0,0,0,0.104493208,0.104493208,0.313479624,0.104493208,0,0.104493208,0,0.104493208,0,0,0,0.104493208,0,0,0,0,0,0,0,0,0.104493208,0,0
3b,14.94565217,12.5,5.570652174,8.559782609,7.744565217,4.076086957,3.532608696,3.39673913,3.125,2.309782609,2.173913043,1.358695652,0.815217391,2.309782609,2.173913043,1.222826087,0.815217391,1.766304348,0.815217391,0.543478261,0.951086957,2.309782609,0.543478261,0.543478261,0.815217391,0.815217391,0.679347826,0.951086957,0.135869565,0.27173913,0.135869565,0.815217391,1.086956522,0.543478261,0.135869565,0.679347826,0.679347826,0,0.951086957,0.543478261,0,0.27173913,0.951086957,0.679347826,0.135869565,0.407608696,0.679347826,0,0.27173913,0.679347826,0.135869565,0.135869565,0.135869565,0.135869565,0.543478261,0,0.135869565,0.543478261,0,0,0.135869565,0,0.27173913,0.135869565,0.135869565,0,0,0,0,0,0,0.135869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c,22.22222222,8.641975309,7.407407407,7.407407407,8.641975309,3.703703704,2.469135802,1.234567901,1.234567901,1.234567901,1.234567901,3.703703704,6.172839506,2.469135802,4.938271605,0,1.234567901,0,0,2.469135802,2.469135802,0,1.234567901,1.234567901,0,0,6.172839506,0,1.234567901,1.234567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d,26.20320856,14.51489687,7.104660046,7.18105424,4.583651642,6.035141329,4.812834225,3.437738732,2.368220015,3.666921314,1.298701299,0.840336134,1.069518717,0.993124523,0.611153552,0.993124523,1.222307105,1.069518717,1.069518717,0,0.534759358,0.152788388,0.229182582,0.687547746,1.069518717,0.229182582,0,0.687547746,0.305576776,0.152788388,0.993124523,0.38197097,0.458365164,0.611153552,0.076394194,0.305576776,0.534759358,0.152788388,0,0,0.305576776,0.229182582,0.916730328,0.229182582,0.229182582,0.152788388,0.152788388,0,0.076394194,0,0.076394194,0,0.152788388,0,0,0,0.076394194,0,0.229182582,0.076394194,0,0,0.076394194,0.152788388,0.076394194,0,0,0,0,0.076394194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076394194,0
3e,28.56410256,13.53846154,6.461538462,7.487179487,5.076923077,5.025641026,4,3.025641026,2.512820513,2.153846154,1.025641026,1.076923077,1.487179487,2.153846154,1.487179487,1.743589744,0.666666667,1.179487179,0.564102564,0,0.564102564,0.820512821,0.41025641,1.282051282,0.461538462,0.358974359,0.051282051,0.717948718,0.307692308,0.102564103,0.769230769,0.307692308,0.102564103,0.153846154,0.256410256,0.461538462,0.153846154,0.102564103,0.205128205,0.102564103,0.666666667,0.051282051,0.358974359,0.153846154,0.307692308,0.051282051,0.153846154,0.102564103,0.153846154,0,0,0,0.102564103,0.205128205,0.102564103,0.051282051,0.205128205,0,0,0.205128205,0,0,0,0,0.102564103,0.051282051,0,0,0,0,0.051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
