doc_id,LEXWL_wl_2,LEXWL_wl_3,LEXWL_wl_5,LEXWL_wl_6,LEXWL_wl_7,LEXWL_wl_4,LEXWL_wl_8,LEXWL_wl_1,LEXWL_wl_9,LEXWL_wl_10,LEXWL_wl_11,LEXWL_wl_12,LEXWL_wl_13,LEXWL_wl_14,LEXWL_wl_20,LEXWL_wl_15,LEXWL_wl_16,LEXWL_wl_17,LEXWL_wl_19,LEXWL_wl_18
1a,26.19893428,14.12078153,6.74955595,8.259325044,7.726465364,5.150976909,7.104795737,4.884547069,6.039076377,4.618117229,2.664298401,1.598579041,1.154529307,0.888099467,1.243339254,0.621669627,0.088809947,0.444049734,0.26642984,0.177619893
1b,24.89724016,15.38461538,8.690546095,8.338226659,8.807985907,6.811509102,6.752789196,6.224310041,4.873752202,2.583675866,1.761597181,1.174398121,0.58719906,0.29359953,1.702877275,0.234879624,0.645918967,0.117439812,0.117439812,0
1c,24.30133657,12.51518834,7.776427704,7.776427704,5.953827461,6.925880923,8.140947752,7.290400972,5.832320778,3.159173755,0.972053463,0.972053463,1.944106926,0.729040097,2.916160389,0.729040097,0,0.364520049,0.972053463,0.729040097
2a,26.84335712,12.40231057,11.14509004,9.310227659,7.577302073,9.480122324,7.135575943,5.266734625,4.2133877,2.480462113,1.291199456,0.849473327,0.611620795,0.44172613,0.169894665,0.169894665,0.101936799,0.373768264,0.033978933,0.101936799
2b,27.3458445,12.42180518,10.27703307,6.434316354,8.310991957,9.562109026,6.344950849,5.987488829,4.557640751,2.502234138,2.591599643,1.697944593,0.625558534,0.35746202,0.089365505,0.268096515,0.089365505,0.536193029,0,0
3a,25.94099695,11.64801628,8.443540183,6.815869786,9.664292981,5.900305188,6.714140387,7.324516785,4.425228891,3.763987792,2.848423194,1.169888098,1.068158698,0.610376399,1.627670397,0.457782299,0.406917599,0.406917599,0.457782299,0.305188199
3b,25.47501759,12.38564391,9.359605911,10.34482759,7.459535538,8.585503167,5.770584096,8.72624912,3.659394792,2.674173118,1.196340605,1.618578466,0.562983814,0.21111893,0.774102745,0.492610837,0.21111893,0.140745954,0.070372977,0.281491907
3c,26.14379085,15.03267974,4.575163399,7.843137255,6.535947712,6.535947712,9.150326797,9.150326797,4.575163399,3.267973856,1.307189542,1.307189542,0.653594771,0.653594771,0.653594771,0.653594771,1.307189542,0,0,0.653594771
3d,25.45036412,14.22000767,9.62054427,8.547336144,7.205825987,6.707550786,6.324262169,6.439248754,5.327711767,3.487926409,2.453047145,1.533154465,0.996550402,0.766577233,0.114986585,0.421617478,0.153315447,0.153315447,0.076657723,0
3e,25.59203445,14.69321851,8.584499462,6.350914962,8.584499462,5.81270183,6.539289559,7.265877287,5.166846071,4.574811625,2.960172228,1.66846071,0.888051668,0.376749193,0.296017223,0.376749193,0.107642626,0.107642626,0.026910657,0.026910657
