doc_id,POSBEG_<s>::d,POSBEG_<s>::v,POSBEG_<s>::n,POSBEG_<s>::c,POSBEG_<s>::s,POSBEG_<s>::r,POSBEG_<s>::p,POSBEG_<s>::i,POSBEG_<s>::z,POSBEG_<s>::a,POSBEG_<s>::</s>
1a,0.768573868,0.256191289,0.341588386,0.768573868,0.512382579,0.597779675,0.597779675,0,0,0,0
1b,1.062045836,1.006148686,0.391280045,0.447177194,0.838457239,0.447177194,0.558971492,0.055897149,0,0,0
1c,0.115340254,1.038062284,1.268742791,0.692041522,1.384083045,0.576701269,0,0,0,0,0
2a,0.32647731,1.01207966,0.555011427,0.65295462,0.261181848,0.620306889,0.489715965,0,0,0,0
2b,0.434782609,0.608695652,0.086956522,0.434782609,0.260869565,0.434782609,0.434782609,0,0,0,0
3a,1.253616201,0.6268081,1.591128255,0.337512054,0.530376085,0.385728062,0.385728062,0,0.048216008,0.048216008,0
3b,0.665335995,0.931470393,0.864936793,0.598802395,0.731869594,1.131071191,0.465735196,0,0,0.066533599,0
3c,0.613496933,0.613496933,1.840490798,0.613496933,0.613496933,0,1.840490798,0,0,0,0
3d,1.293422025,0.51736881,0.07390983,0.29563932,0.66518847,0.406504065,0.332594235,0,0,0,0
3e,1.199165798,0.417101147,0.130344108,0.182481752,0.495307612,0.495307612,0.208550574,0,0,0,0
4a,0.8091706,0.4045853,0.674308833,0.337154417,0.741739717,0.4045853,0.4045853,0,0,0,0
4b,0.752508361,0.752508361,0.585284281,0.25083612,0.585284281,0.418060201,0.25083612,0,0.08361204,0,0
4c,1.078748652,0.701186624,0.593311758,0.21574973,0.269687163,0.431499461,0.107874865,0,0,0,0
5a,1.057401813,0.302114804,0,0.755287009,0.906344411,0.604229607,0.151057402,0,0,0,0
5b,1.215805471,0.607902736,0,0.911854103,0.759878419,0.759878419,0.151975684,0,0,0,0
5c,1.654135338,0.601503759,0,1.353383459,0.601503759,0.45112782,0.15037594,0,0,0,0
5d,1.027900147,0.734214391,0.146842878,1.174743025,0.734214391,0.734214391,0.146842878,0,0,0,0
5f,0.896860987,0.597907324,0.149476831,0.448430493,0.896860987,0.747384155,0.448430493,0,0,0,0
5g,1.090909091,0.727272727,0.363636364,0.363636364,0,1.090909091,0,0,0,0,0
5h,0.215672178,1.509705248,1.509705248,1.078360891,0.35945363,0.647016535,0.503235083,0.215672178,0.071890726,0,0
5i,0.894854586,0.820283371,1.938851603,0.372856078,0.372856078,0.521998509,0.596569724,0.074571216,0,0,0
5j,0.925925926,0.617283951,0.231481481,0.385802469,0.308641975,0.540123457,0.231481481,0,0.077160494,0,0
2c,0.232504069,0.837014648,0.255754476,0.534759358,0.209253662,0.255754476,0.162752848,0,0,0.023250407,0.023250407
2d,0.47318612,0.47318612,0.630914826,0.315457413,0.315457413,0.157728707,0.157728707,0,0,0,0
