doc_id,POSEND_n::</s>,POSEND_a::</s>,POSEND_v::</s>,POSEND_p::</s>,POSEND_r::</s>,POSEND_z::</s>,POSEND_w::</s>,POSEND_i::</s>,POSEND_d::</s>,POSEND_<s>::</s>
1a,2.476515798,0.768573868,0.341588386,0.170794193,0,0,0.085397096,0,0,0
1b,2.96254891,0.72666294,0.558971492,0.279485746,0.223588597,0,0,0.055897149,0,0
1c,2.652825836,1.153402537,0.692041522,0.346020761,0.230680507,0,0,0,0,0
2a,1.958863859,0.783545544,0.457068234,0.228534117,0.359125041,0.032647731,0.032647731,0.032647731,0.032647731,0
2b,1.739130435,0.434782609,0.173913043,0.086956522,0.086956522,0,0.173913043,0,0,0
3a,3.567984571,0.771456123,0.433944069,0.192864031,0.144648023,0,0.048216008,0.048216008,0,0
3b,3.925482369,0.665335995,0.399201597,0.133067199,0.266134398,0.066533599,0,0,0,0
3c,4.90797546,0,0,0.613496933,0,0,0.613496933,0,0,0
3d,2.254249815,0.66518847,0.36954915,0.14781966,0.07390983,0.07390983,0,0,0,0
3e,2.00729927,0.729927007,0.15641293,0.078206465,0.104275287,0.052137643,0,0,0,0
4a,2.562373567,0.674308833,0.134861767,0.20229265,0.067430883,0.067430883,0,0.067430883,0,0
4b,2.090301003,1.086956522,0.25083612,0.08361204,0.16722408,0,0,0,0,0
4c,1.941747573,0.862998921,0.431499461,0.107874865,0.053937433,0,0,0,0,0
5a,2.265861027,0.755287009,0.453172205,0.302114804,0,0,0,0,0,0
5b,2.127659574,1.671732523,0.303951368,0.303951368,0,0,0,0,0,0
5c,2.857142857,0.751879699,0.902255639,0.15037594,0,0,0,0,0.15037594,0
5d,2.790014684,0.734214391,0.881057269,0.146842878,0.146842878,0,0,0,0,0
5f,1.494768311,2.092675635,0.448430493,0,0.149476831,0,0,0,0,0
5g,2.909090909,0.727272727,0,0,0,0,0,0,0,0
5h,2.94751977,0.647016535,1.222142344,0.143781452,0.431344357,0.647016535,0,0.071890726,0,0
5i,2.833706189,0.969425802,0.820283371,0.372856078,0.447427293,0.149142431,0,0,0,0
5j,1.929012346,1.00308642,0.231481481,0.154320988,0,0,0,0,0,0
2c,1.48802604,0.465008138,0.255754476,0.093001628,0.116252034,0.023250407,0.046500814,0,0.023250407,0.023250407
2d,1.89274448,0.315457413,0.157728707,0,0.157728707,0,0,0,0,0
