doc_id,POSSH1_n,POSSH1_d,POSSH1_v,POSSH1_s,POSSH1_c,POSSH1_p,POSSH1_a,POSSH1_r,POSSH1_z,POSSH1_w,POSSH1_i
1a,24.3339254,18.56127886,16.69626998,15.80817052,6.039076377,5.861456483,7.637655417,4.529307282,0.26642984,0.26642984,0
1b,23.42924251,16.73517322,17.32237228,14.03405755,6.870229008,9.395184968,6.165590135,4.991192014,0.58719906,0.29359953,0.176159718
1c,26.36695018,14.09477521,16.03888214,17.98298906,6.804374241,6.318347509,6.318347509,5.346294046,0.729040097,0,0
2a,21.50866463,14.27115189,18.04281346,14.84879375,7.509344207,10.15970099,6.897723411,6.184165817,0.373768264,0.067957866,0.135915732
2b,23.14566577,16.62198391,16.26452189,15.10277033,7.864164433,7.685433423,5.898123324,6.613047364,0.446827525,0.268096515,0.089365505
3a,27.97558494,16.02238047,15.56459817,16.07324517,7.070193286,6.307222787,6.968463886,3.560528993,0.254323499,0.1017294,0.1017294
3b,24.8416608,13.15974666,16.39690359,16.39690359,8.655876144,8.163265306,5.770584096,5.981703026,0.422237861,0.140745954,0.070372977
3c,28.10457516,17.64705882,15.03267974,16.33986928,6.535947712,7.843137255,3.921568627,3.921568627,0,0.653594771,0
3d,25.8719816,18.20620928,13.76006133,15.67650441,7.435799157,5.40436949,8.049060943,4.446147949,0.958221541,0.076657723,0.114986585
3e,25.48439182,19.16038751,13.77825619,16.57696448,6.862217438,6.216361679,7.508073197,3.498385361,0.888051668,0.026910657,0
4a,24.45690259,17.79957954,15.27680448,16.1177295,6.86755431,6.447091801,7.568325158,4.765241766,0.560616678,0.070077085,0.070077085
4b,25.26041667,17.01388889,17.10069444,16.05902778,7.465277778,5.555555556,7.291666667,3.90625,0.347222222,0,0
4c,24.95812395,19.26298157,14.85203797,15.57788945,5.415968733,7.035175879,8.989391401,3.573422669,0.279173646,0,0.055834729
5a,21.03610675,17.42543171,17.42543171,16.9544741,8.320251177,6.907378336,5.965463108,5.651491366,0.313971743,0,0
5b,20.82670906,16.0572337,16.85214626,16.0572337,9.06200318,7.790143084,7.790143084,5.246422893,0.317965024,0,0
5c,23.3807267,19.5892575,17.06161137,15.63981043,6.319115324,4.897314376,7.582938389,5.371248025,0.157977883,0,0
5d,22.03389831,17.10323575,16.79506934,13.86748844,9.399075501,7.087827427,5.546995378,8.166409861,0,0,0
5f,22.93291732,18.40873635,14.66458658,17.16068643,6.55226209,8.268330733,7.176287051,4.836193448,0,0,0
5g,22.64150943,18.49056604,14.33962264,13.58490566,7.924528302,7.169811321,9.811320755,6.037735849,0,0,0
5h,21.36294028,15.77335375,20.06125574,13.39969372,7.963246554,10.71975498,3.598774885,5.359877489,1.378254211,0,0.382848392
5i,23.14375987,15.16587678,17.45655608,12.55924171,8.609794629,9.952606635,5.529225908,6.951026856,0.552922591,0,0.078988942
5j,23.14445331,15.48284118,16.12130886,15.16360734,7.262569832,7.90103751,8.140462889,6.145251397,0.399042298,0.159616919,0.07980846
2c,23.54484733,15.76812977,16.81774809,16.74618321,7.180343511,7.705152672,6.154580153,5.176526718,0.739503817,0.143129771,0.023854962
2d,24.75728155,16.34304207,14.4012945,17.47572816,7.443365696,6.634304207,7.443365696,5.339805825,0.161812298,0,0
