doc_id,POSSH2_d::n,POSSH2_s::d,POSSH2_n::s,POSSH2_p::v,POSSH2_v::s,POSSH2_s::n,POSSH2_n::v,POSSH2_v::d,POSSH2_n::a,POSSH2_n::c,POSSH2_n::</s>,POSSH2_v::v,POSSH2_n::p,POSSH2_c::d,POSSH2_r::v,POSSH2_a::n,POSSH2_v::c,POSSH2_d::a,POSSH2_a::s,POSSH2_s::v,POSSH2_c::v,POSSH2_v::r,POSSH2_v::n,POSSH2_n::d,POSSH2_n::r,POSSH2_v::p,POSSH2_a::c,POSSH2_n::n,POSSH2_c::n,POSSH2_c::s,POSSH2_p::p,POSSH2_<s>::d,POSSH2_a::</s>,POSSH2_c::r,POSSH2_r::s,POSSH2_c::p,POSSH2_<s>::v,POSSH2_v::a,POSSH2_p::s,POSSH2_<s>::n,POSSH2_s::p,POSSH2_<s>::c,POSSH2_<s>::s,POSSH2_d::p,POSSH2_<s>::r,POSSH2_a::v,POSSH2_r::a,POSSH2_r::p,POSSH2_r::d,POSSH2_p::r,POSSH2_a::p,POSSH2_r::c,POSSH2_v::</s>,POSSH2_c::a,POSSH2_s::c,POSSH2_<s>::p,POSSH2_r::r,POSSH2_a::d,POSSH2_p::d,POSSH2_s::a,POSSH2_s::r,POSSH2_d::v,POSSH2_p::c,POSSH2_a::r,POSSH2_c::c,POSSH2_d::d,POSSH2_r::n,POSSH2_z::n,POSSH2_p::n,POSSH2_d::r,POSSH2_a::a,POSSH2_p::</s>,POSSH2_s::z,POSSH2_r::</s>,POSSH2_d::s,POSSH2_p::a,POSSH2_d::z,POSSH2_n::z,POSSH2_v::z,POSSH2_z::</s>,POSSH2_z::s,POSSH2_n::w,POSSH2_z::c,POSSH2_w::</s>,POSSH2_s::s,POSSH2_d::w,POSSH2_c::z,POSSH2_z::z,POSSH2_<s>::i,POSSH2_z::a,POSSH2_d::c,POSSH2_<s>::z,POSSH2_i::</s>,POSSH2_r::z,POSSH2_n::i,POSSH2_z::d,POSSH2_w::n,POSSH2_i::v,POSSH2_d::i,POSSH2_s::w,POSSH2_w::s,POSSH2_z::r,POSSH2_z::p,POSSH2_d::</s>,POSSH2_z::v,POSSH2_v::i,POSSH2_w::p,POSSH2_i::d,POSSH2_i::s,POSSH2_i::r,POSSH2_w::d,POSSH2_w::v,POSSH2_w::c,POSSH2_c::i,POSSH2_i::c,POSSH2_<s>::a,POSSH2_i::n,POSSH2_a::z,POSSH2_a::i,POSSH2_w::r,POSSH2_p::i,POSSH2_v::w,POSSH2_i::p,POSSH2_p::z,POSSH2_<s>::</s>
1a,15.37147737,8.966695132,5.892399658,2.818104184,4.099060632,3.586678053,4.184457728,3.330486763,4.355251921,2.134927412,2.476515798,3.842869342,1.110162254,1.537147737,1.622544833,1.110162254,1.110162254,0.768573868,1.793339026,0.768573868,1.280956447,0.683176772,0.768573868,1.622544833,0.768573868,1.110162254,0.939368061,0.768573868,0.597779675,0.683176772,0.512382579,0.768573868,0.768573868,0.512382579,0.768573868,0.512382579,0.256191289,0.597779675,0.768573868,0.341588386,0.512382579,0.768573868,0.512382579,0.512382579,0.597779675,1.024765158,0.256191289,0.426985482,0.426985482,0.512382579,0.341588386,0.256191289,0.341588386,0.426985482,0.256191289,0.597779675,0.426985482,0.597779675,0.341588386,0.341588386,0.512382579,0.256191289,0.085397096,0.170794193,0.256191289,0.170794193,0.170794193,0.170794193,0.426985482,0.170794193,0.597779675,0.170794193,0,0,0.426985482,0,0.085397096,0,0.170794193,0,0.085397096,0.085397096,0,0.085397096,0.170794193,0.085397096,0,0,0,0,0,0,0,0,0,0,0.085397096,0,0,0.085397096,0,0,0,0,0,0,0,0,0,0,0.085397096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b,13.02403577,7.43432085,5.030743432,5.533817775,4.192286193,3.074343209,4.080491895,3.130240358,2.012297373,2.403577418,2.96254891,1.676914477,2.347680268,1.285634433,1.117942985,1.341531582,1.45332588,1.062045836,0.950251537,1.173840134,1.397428731,1.229737283,1.285634433,1.397428731,0.72666294,2.124091671,1.229737283,1.229737283,1.062045836,0.335382895,0.950251537,1.062045836,0.72666294,0.670765791,0.838457239,1.062045836,1.006148686,0.72666294,0.782560089,0.391280045,0.447177194,0.447177194,0.838457239,0.447177194,0.447177194,0.167691448,0.670765791,0.670765791,0.503074343,0.503074343,0.223588597,0.167691448,0.558971492,0.391280045,0.279485746,0.558971492,0.335382895,0.558971492,0.055897149,0.391280045,0.279485746,0.279485746,0.279485746,0.223588597,0.279485746,0.391280045,0.223588597,0.335382895,0.335382895,0.335382895,0.447177194,0.279485746,0.223588597,0.223588597,0.111794298,0.167691448,0,0.111794298,0.111794298,0,0,0,0,0,0.055897149,0.279485746,0,0.111794298,0.055897149,0,0,0,0.055897149,0,0,0.055897149,0,0,0,0,0.167691448,0,0.055897149,0,0,0,0.055897149,0.055897149,0.055897149,0,0,0.055897149,0,0.055897149,0,0,0,0,0,0,0.055897149,0,0,0,0
1c,11.64936563,7.727797001,7.266435986,2.76816609,4.382929642,5.420991926,4.498269896,2.652825836,2.998846597,2.883506344,2.652825836,1.960784314,1.153402537,1.153402537,2.191464821,1.614763552,0.692041522,1.038062284,1.038062284,1.614763552,0.692041522,1.268742791,1.038062284,0.92272203,1.038062284,1.384083045,0.692041522,1.614763552,1.499423299,1.268742791,0.461361015,0.115340254,1.153402537,0.692041522,0.692041522,0.692041522,1.038062284,1.038062284,0.92272203,1.268742791,0.807381776,0.692041522,1.384083045,0.346020761,0.576701269,0.346020761,0.115340254,0.576701269,0.115340254,0.576701269,0.576701269,0.346020761,0.692041522,0.346020761,0.576701269,0,0.461361015,0.346020761,0.230680507,0.115340254,0.346020761,0.115340254,0.461361015,0,0,0.115340254,0.346020761,0.346020761,0.230680507,0.115340254,0.230680507,0.346020761,0.461361015,0.230680507,0,0,0,0,0.115340254,0,0.115340254,0,0.115340254,0,0,0,0.115340254,0,0,0.115340254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a,10.15344434,6.170421156,6.039830232,4.831864185,3.917727718,3.885079987,3.166829905,3.623898139,1.99151159,2.415932093,1.958863859,2.677113941,1.926216128,1.33855697,2.024159321,2.024159321,1.403852432,2.024159321,1.371204701,1.860920666,1.01207966,1.044727391,1.207966046,0.848841006,1.077375122,2.024159321,0.979431929,1.142670584,0.946784198,0.783545544,1.371204701,0.32647731,0.783545544,1.175318315,0.718250082,1.33855697,1.01207966,0.848841006,0.946784198,0.555011427,1.044727391,0.65295462,0.261181848,0.685602351,0.620306889,0.555011427,0.587659158,0.65295462,0.391772772,0.979431929,0.195886386,0.489715965,0.457068234,0.261181848,0.489715965,0.489715965,0.424420503,0.32647731,0.32647731,0.391772772,0.359125041,0.163238655,0.522363696,0.163238655,0.261181848,0.359125041,0.261181848,0.228534117,0.261181848,0.065295462,0.228534117,0.228534117,0.065295462,0.359125041,0.163238655,0.261181848,0.032647731,0.032647731,0.130590924,0.032647731,0.032647731,0.032647731,0,0.032647731,0,0.032647731,0,0.032647731,0,0.032647731,0,0,0.032647731,0.032647731,0.032647731,0,0,0.032647731,0,0,0,0,0,0.032647731,0,0,0,0,0.032647731,0,0,0,0,0.097943193,0,0,0,0,0,0.032647731,0,0,0.032647731,0.032647731,0
2b,12.60869565,7.652173913,6.52173913,4.173913043,3.739130435,3.913043478,3.304347826,3.739130435,1.826086957,2.782608696,1.739130435,2.956521739,1.913043478,1.739130435,1.304347826,1.739130435,1.391304348,2,0.956521739,1.304347826,1.130434783,1.391304348,1.043478261,1.47826087,1.217391304,1.043478261,1.043478261,1.47826087,0.695652174,1.304347826,0.869565217,0.434782609,0.434782609,1.304347826,0.956521739,0.869565217,0.608695652,0.347826087,0.608695652,0.086956522,0.695652174,0.434782609,0.260869565,0.347826087,0.434782609,0.695652174,0.608695652,1.043478261,0.347826087,0.52173913,0.260869565,1.217391304,0.173913043,0.260869565,0.086956522,0.434782609,0.608695652,0.086956522,0.52173913,0.173913043,0.434782609,0.347826087,0.260869565,0.086956522,0.347826087,0.173913043,0.173913043,0.434782609,0.347826087,0.347826087,0.434782609,0.086956522,0.347826087,0.086956522,0.260869565,0.086956522,0,0,0,0,0,0.173913043,0,0.173913043,0.086956522,0.086956522,0,0,0,0,0,0,0,0.086956522,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0
3a,11.81292189,7.569913211,6.798457088,3.616200579,4.291224687,5.06268081,4.387656702,3.471552555,2.700096432,3.857280617,3.567984571,1.735776278,1.735776278,0.964320154,1.157184185,2.217936355,0.867888139,1.976856316,1.301832208,0.771456123,1.68756027,0.578592093,2.266152363,0.916104147,0.723240116,0.6268081,0.675024108,1.783992285,1.253616201,1.06075217,0.675024108,1.253616201,0.771456123,0.482160077,0.337512054,0.578592093,0.6268081,0.433944069,0.6268081,1.591128255,0.6268081,0.337512054,0.530376085,0.482160077,0.385728062,0.482160077,0.385728062,0.385728062,0.289296046,0.289296046,0.482160077,0.144648023,0.433944069,0.289296046,0.192864031,0.385728062,0.289296046,0.241080039,0.192864031,0.289296046,0.385728062,0.289296046,0.144648023,0.048216008,0.385728062,0.192864031,0.241080039,0.096432015,0.192864031,0.144648023,0.385728062,0.192864031,0.144648023,0.144648023,0.144648023,0.048216008,0,0,0.048216008,0,0,0,0.048216008,0.048216008,0.144648023,0.048216008,0,0,0,0.048216008,0.048216008,0.048216008,0.048216008,0,0.048216008,0,0,0,0.048216008,0.048216008,0,0.048216008,0,0,0,0,0,0.048216008,0,0,0.048216008,0,0,0,0,0.048216008,0,0,0,0,0,0,0,0,0
3b,10.31270792,6.187624751,6.586826347,4.524284764,4.258150366,5.588822355,2.594810379,3.060545576,1.663339987,3.659347971,3.925482369,1.463739188,2.328675981,0.532268796,1.929474385,1.397205589,1.26413839,1.131071191,1.064537591,1.929474385,1.862940785,0.931470393,1.996007984,0.798403194,0.798403194,1.131071191,1.131071191,0.931470393,1.463739188,1.463739188,1.064537591,0.665335995,0.665335995,0.931470393,0.665335995,0.998003992,0.931470393,0.998003992,0.665335995,0.864936793,0.598802395,0.598802395,0.731869594,0.199600798,1.131071191,0.133067199,0.465735196,0.465735196,0.598802395,0.731869594,0.465735196,0.399201597,0.399201597,0.465735196,0.266134398,0.465735196,0.399201597,0.133067199,0.133067199,0.332667997,0.332667997,0.133067199,0.199600798,0.199600798,0.465735196,0.332667997,0.465735196,0.199600798,0.133067199,0.199600798,0.199600798,0.133067199,0.199600798,0.266134398,0.066533599,0.133067199,0.066533599,0.133067199,0,0.066533599,0,0.066533599,0.133067199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133067199,0,0,0.066533599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066533599,0.066533599,0,0,0.066533599,0,0,0,0,0,0
3c,15.33742331,9.202453988,5.521472393,4.90797546,4.90797546,5.521472393,2.45398773,4.294478528,2.45398773,3.680981595,4.90797546,2.45398773,3.680981595,1.840490798,1.840490798,1.840490798,1.226993865,0.613496933,0.613496933,0,1.840490798,0.613496933,0.613496933,0.613496933,1.840490798,0,0.613496933,0.613496933,0.613496933,0.613496933,0.613496933,0.613496933,0,0.613496933,1.840490798,0.613496933,0.613496933,0,1.226993865,1.840490798,0,0.613496933,0.613496933,0,0,0,0,0,0,0,0.613496933,0,0,0,0,1.840490798,0,0,0,0.613496933,0,0,0,0,0,0,0,0,0,0.613496933,0,0.613496933,0,0,0,0,0,0,0,0,0,0.613496933,0,0.613496933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d,14.33850702,9.238728751,6.725794531,3.47376201,3.658536585,3.436807095,3.141167775,2.58684405,3.91722099,3.288987435,2.254249815,1.736881005,1.662971175,2.06947524,1.25646711,2.180339985,1.145602365,1.589061345,1.69992609,0.997782705,1.25646711,1.10864745,1.33037694,1.145602365,0.81300813,0.51736881,1.293422025,1.810790835,1.33037694,0.96082779,0.51736881,1.293422025,0.66518847,0.59127864,0.628233555,0.36954915,0.51736881,0.7390983,0.332594235,0.07390983,0.480413895,0.29563932,0.66518847,0.29563932,0.406504065,0.7390983,0.480413895,0.406504065,0.66518847,0.36954915,0.480413895,0.258684405,0.36954915,0.332594235,0.184774575,0.332594235,0.36954915,0.110864745,0.110864745,0.36954915,0.110864745,0.14781966,0.258684405,0.258684405,0.184774575,0.29563932,0.110864745,0.29563932,0,0.184774575,0.29563932,0.14781966,0.258684405,0.07390983,0.22172949,0,0.332594235,0.14781966,0.036954915,0.07390983,0.184774575,0.036954915,0.14781966,0,0.036954915,0.036954915,0.07390983,0,0,0.036954915,0.036954915,0,0,0.036954915,0,0,0.036954915,0,0.07390983,0,0,0.07390983,0.110864745,0,0,0.036954915,0.036954915,0.036954915,0,0,0,0,0,0,0.07390983,0,0,0.036954915,0,0,0,0,0,0,0
3e,15.32846715,10.03649635,7.012513034,3.649635037,4.301355579,3.154327424,3.38894682,3.38894682,3.519290928,3.493222106,2.00729927,1.668404588,1.85088634,1.38164755,1.068821689,1.746611053,0.703858186,1.485922836,1.642335766,1.225234619,0.886339937,0.677789364,0.912408759,1.329509906,0.547445255,0.886339937,1.147028154,1.485922836,1.147028154,1.094890511,0.651720542,1.199165798,0.729927007,0.521376434,0.417101147,0.677789364,0.417101147,0.547445255,0.677789364,0.130344108,0.521376434,0.182481752,0.495307612,0.547445255,0.495307612,0.677789364,0.391032325,0.234619395,0.46923879,0.234619395,0.443169969,0.234619395,0.15641293,0.703858186,0.286757039,0.208550574,0.31282586,0.364963504,0.182481752,0.338894682,0.104275287,0.286757039,0.208550574,0.260688217,0.182481752,0.208550574,0.15641293,0.31282586,0.31282586,0.208550574,0.260688217,0.078206465,0.391032325,0.104275287,0.234619395,0.026068822,0.208550574,0.052137643,0.104275287,0.052137643,0.15641293,0,0.182481752,0,0,0.026068822,0.052137643,0.052137643,0,0,0.026068822,0,0,0,0,0,0,0,0,0,0.026068822,0.026068822,0,0,0.078206465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
