doc_id,POSSH1_n,POSSH1_d,POSSH1_v,POSSH1_s,POSSH1_c,POSSH1_p,POSSH1_a,POSSH1_r,POSSH1_z,POSSH1_w,POSSH1_i
68781,24.3339253996,18.5612788632,16.6962699822,15.8081705151,6.03907637655,5.86145648313,7.63765541741,4.52930728242,0.266429840142,0.266429840142,0
68783,23.4292425132,16.7351732237,17.3223722842,14.0340575455,6.87022900763,9.3951849677,6.16559013506,4.99119201409,0.587199060482,0.293599530241,0.176159718144
68785,26.3669501823,14.0947752126,16.0388821385,17.9829890644,6.80437424058,6.31834750911,6.31834750911,5.34629404617,0.729040097205,0,0
68787,25.4364089776,17.3014433613,15.1930779113,16.0432252702,7.45862616187,6.83518476536,6.66893372629,3.91445628353,0.906823849467,0.215370664248,0.0264490289428
68793,21.5086646279,14.2711518858,18.0428134557,14.8487937479,7.50934420659,10.1597009854,6.89772341148,6.18416581719,0.373768263677,0.067957866123,0.135915732246
68795,23.145665773,16.6219839142,16.2645218945,15.1027703307,7.86416443253,7.6854334227,5.8981233244,6.61304736372,0.446827524576,0.268096514745,0.0893655049151
68797,27.975584944,16.022380468,15.5645981689,16.0732451679,7.07019328586,6.30722278739,6.96846388606,3.56052899288,0.254323499491,0.101729399797,0.101729399797
68799,24.8416608023,13.1597466573,16.396903589,16.396903589,8.65587614356,8.16326530612,5.77058409571,5.98170302604,0.422237860662,0.140745953554,0.0703729767769
68801,28.1045751634,17.6470588235,15.0326797386,16.339869281,6.53594771242,7.8431372549,3.92156862745,3.92156862745,0,0.653594771242,0
68803,25.8719816021,18.2062092756,13.7600613262,15.6765044078,7.43579915677,5.40436949023,8.04906094289,4.44614794941,0.95822154082,0.0766577232656,0.114986584898
68805,25.4843918192,19.1603875135,13.7782561895,16.5769644779,6.86221743811,6.21636167922,7.50807319699,3.4983853606,0.888051668461,0.02691065662,0
68807,24.4569025929,17.7995795375,15.2768044849,16.1177295025,6.86755430974,6.44709180098,7.56832515767,4.76524176594,0.560616678346,0.0700770847933,0.0700770847933
68809,25.2604166667,17.0138888889,17.1006944444,16.0590277778,7.46527777778,5.55555555556,7.29166666667,3.90625,0.347222222222,0,0
68811,24.9581239531,19.2629815745,14.8520379676,15.5778894472,5.41596873255,7.0351758794,8.98939140145,3.5734226689,0.279173646008,0,0.0558347292016
68813,21.0361067504,17.4254317111,17.4254317111,16.9544740973,8.32025117739,6.90737833595,5.96546310832,5.65149136578,0.313971742543,0,0
68815,20.826709062,16.0572337043,16.8521462639,16.0572337043,9.06200317965,7.79014308426,7.79014308426,5.24642289348,0.317965023847,0,0
68817,23.3807266983,19.5892575039,17.0616113744,15.6398104265,6.31911532385,4.89731437599,7.58293838863,5.37124802528,0.157977883096,0,0
68819,22.0338983051,17.1032357473,16.7950693374,13.8674884438,9.39907550077,7.08782742681,5.5469953775,8.16640986133,0,0,0
68821,22.9329173167,18.4087363495,14.6645865835,17.1606864275,6.55226209048,8.26833073323,7.17628705148,4.83619344774,0,0,0
68823,22.641509434,18.4905660377,14.3396226415,13.5849056604,7.92452830189,7.16981132075,9.81132075472,6.03773584906,0,0,0
68825,21.3629402757,15.7733537519,20.0612557427,13.3996937213,7.96324655436,10.719754977,3.59877488515,5.35987748851,1.37825421133,0,0.382848392037
68827,23.1437598736,15.1658767773,17.4565560821,12.5592417062,8.60979462875,9.95260663507,5.52922590837,6.95102685624,0.552922590837,0,0.0789889415482
68829,23.1444533121,15.4828411812,16.1213088587,15.1636073424,7.2625698324,7.90103750998,8.14046288907,6.14525139665,0.399042298484,0.159616919393,0.0798084596967
68831,23.5448473282,15.768129771,16.8177480916,16.7461832061,7.18034351145,7.70515267176,6.15458015267,5.17652671756,0.739503816794,0.143129770992,0.0238549618321
68833,24.7572815534,16.3430420712,14.4012944984,17.4757281553,7.44336569579,6.63430420712,7.44336569579,5.33980582524,0.161812297735,0,0
