doc_id,LEXSL_sl_11-20,LEXSL_sl_<10,LEXSL_sl_21-30,LEXSL_sl_31-40,LEXSL_sl_>51,LEXSL_sl_41-50
68781,20,28.8888888889,17.7777777778,20,11.1111111111,2.22222222222
68783,26.7441860465,31.3953488372,24.4186046512,11.6279069767,3.48837209302,2.32558139535
68785,27.2727272727,31.8181818182,25,6.81818181818,0,9.09090909091
68787,28.3582089552,29.767827529,17.5787728027,11.4427860697,6.135986733,6.71641791045
68793,25,22.5,20.8333333333,19.1666666667,8.33333333333,4.16666666667
68795,25.8064516129,6.45161290323,22.5806451613,16.1290322581,16.1290322581,12.9032258065
68797,31.4814814815,37.037037037,12.962962963,9.25925925926,5.55555555556,3.7037037037
68799,32.9268292683,34.1463414634,17.0731707317,12.1951219512,1.21951219512,2.43902439024
68801,30,50,0,10,10,0
68803,29.8969072165,10.3092783505,25.7731958763,12.3711340206,6.18556701031,15.4639175258
68805,27.5,12.5,15.8333333333,20,14.1666666667,10
68807,26.7857142857,19.6428571429,25,12.5,8.92857142857,7.14285714286
68809,25,18.1818181818,18.1818181818,25,4.54545454545,9.09090909091
68811,23.8095238095,12.6984126984,22.2222222222,22.2222222222,9.52380952381,9.52380952381
68813,32,8,24,20,0,16
68815,27.5862068966,27.5862068966,24.1379310345,10.3448275862,3.44827586207,6.89655172414
68817,18.75,37.5,18.75,15.625,0,9.375
68819,46.875,15.625,21.875,12.5,3.125,0
68821,39.2857142857,10.7142857143,21.4285714286,25,3.57142857143,0
68823,50,0,30,10,10,0
68825,40,35.2941176471,17.6470588235,5.88235294118,1.17647058824,0
68827,26.6666666667,37.3333333333,24,9.33333333333,0,2.66666666667
68829,20.9302325581,6.97674418605,37.2093023256,16.2790697674,6.97674418605,11.6279069767
68831,21.1009174312,16.5137614679,20.1834862385,11.9266055046,25.6880733945,4.5871559633
68833,18.75,18.75,12.5,12.5,25,12.5
